BaseId , SketchId , Generalization Type
0,S0,No generalization
1,S1,No generalization
2,S2,No generalization
39,S3,No generalization
38 36,S4,OmissionMerge
35,S5,No generalization
34 25,S6,OmissionMerge
26,S7,No generalization
21,S8,No generalization
22,S9,No generalization
23,S10,No generalization
27,S11,No generalization
24,S12,No generalization
28 30,S13,OmissionMerge
32,S14,No generalization
31,S15,No generalization
43,S16,No generalization
4,S17,No generalization
3,S18,No generalization
5,S19,No generalization
6,S20,No generalization
7,S21,JunctionMerge
9,S22,JunctionMerge
10,S23,JunctionMerge
46,S24,Collapse
105,S25,No generalization
42,S26,No generalization
109,S27,No generalization
45,S28,No generalization
11,S29,JunctionMerge
18,S30,No generalization
19,S31,No generalization
20,S32,No generalization
12,S33,RoundAboutCollapse
14,S34,RoundAboutCollapse
16,S35,RoundAboutCollapse
44,S36,No generalization
Features missing in sketch map, 8,13,15,17,29,33,37,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,106,107,108,110
Features drawn extra in sketch map, 
