Object 1, Object 2, Relations
 ,RCC8, 
36,31,dc
36,32,dc
36,33,dc
36,34,dc
36,35,dc
36,42,dc
36,43,dc
31,32,dc
31,33,dc
31,34,dc
31,35,dc
31,42,dc
31,43,dc
32,33,dc
32,34,dc
32,35,dc
32,42,dc
32,43,dc
33,34,dc
33,35,dc
33,42,dc
33,43,dc
34,35,dc
34,42,dc
34,43,dc
35,42,dc
35,43,dc
42,43,dc
 ,DE9IM, 
36,3,disjoint
36,5,disjoint
36,6,disjoint
36,9,disjoint
36,10,disjoint
36,12,disjoint
36,14,disjoint
36,16,disjoint
36,18,disjoint
36,20,disjoint
36,21,disjoint
36,22,disjoint
36,23,disjoint
36,29,disjoint
36,30,disjoint
36,0,disjoint
36,1,disjoint
36,2,disjoint
36,4,disjoint
36,7,disjoint
36,8,disjoint
36,11,disjoint
36,13,disjoint
36,15,disjoint
36,17,disjoint
36,19,disjoint
36,28,disjoint
36,27,disjoint
36,26,disjoint
36,25,disjoint
36,24,disjoint
3,31,disjoint
3,32,disjoint
3,33,disjoint
3,34,disjoint
3,35,disjoint
3,42,disjoint
3,43,disjoint
5,31,disjoint
5,32,disjoint
5,33,disjoint
5,34,disjoint
5,35,disjoint
5,42,disjoint
5,43,disjoint
6,31,disjoint
6,32,disjoint
6,33,disjoint
6,34,disjoint
6,35,disjoint
6,42,disjoint
6,43,disjoint
9,31,disjoint
9,32,disjoint
9,33,disjoint
9,34,disjoint
9,35,disjoint
9,42,disjoint
9,43,disjoint
10,31,disjoint
10,32,disjoint
10,33,disjoint
10,34,disjoint
10,35,disjoint
10,42,disjoint
10,43,disjoint
12,31,disjoint
12,32,disjoint
12,33,disjoint
12,34,disjoint
12,35,disjoint
12,42,disjoint
12,43,disjoint
14,31,disjoint
14,32,disjoint
14,33,disjoint
14,34,disjoint
14,35,disjoint
14,42,disjoint
14,43,disjoint
16,31,disjoint
16,32,disjoint
16,33,disjoint
16,34,disjoint
16,35,disjoint
16,42,disjoint
16,43,disjoint
18,31,disjoint
18,32,disjoint
18,33,disjoint
18,34,disjoint
18,35,disjoint
18,42,disjoint
18,43,disjoint
20,31,disjoint
20,32,disjoint
20,33,disjoint
20,34,disjoint
20,35,disjoint
20,42,disjoint
20,43,disjoint
21,31,disjoint
21,32,disjoint
21,33,disjoint
21,34,disjoint
21,35,disjoint
21,42,disjoint
21,43,disjoint
22,31,disjoint
22,32,disjoint
22,33,disjoint
22,34,disjoint
22,35,disjoint
22,42,disjoint
22,43,disjoint
23,31,disjoint
23,32,disjoint
23,33,disjoint
23,34,disjoint
23,35,disjoint
23,42,disjoint
23,43,disjoint
29,31,disjoint
29,32,disjoint
29,33,disjoint
29,34,disjoint
29,35,disjoint
29,42,disjoint
29,43,disjoint
30,31,disjoint
30,32,disjoint
30,33,disjoint
30,34,disjoint
30,35,disjoint
30,42,disjoint
30,43,disjoint
31,0,disjoint
31,1,disjoint
31,2,disjoint
31,4,disjoint
31,7,disjoint
31,8,disjoint
31,11,disjoint
31,13,disjoint
31,15,disjoint
31,17,disjoint
31,19,disjoint
31,28,disjoint
31,27,disjoint
31,26,disjoint
31,25,disjoint
31,24,disjoint
32,0,disjoint
32,1,disjoint
32,2,disjoint
32,4,disjoint
32,7,disjoint
32,8,disjoint
32,11,disjoint
32,13,disjoint
32,15,disjoint
32,17,disjoint
32,19,disjoint
32,28,disjoint
32,27,disjoint
32,26,disjoint
32,25,disjoint
32,24,disjoint
33,0,disjoint
33,1,disjoint
33,2,disjoint
33,4,disjoint
33,7,disjoint
33,8,disjoint
33,11,disjoint
33,13,disjoint
33,15,disjoint
33,17,disjoint
33,19,disjoint
33,28,disjoint
33,27,disjoint
33,26,disjoint
33,25,disjoint
33,24,disjoint
34,0,disjoint
34,1,disjoint
34,2,disjoint
34,4,disjoint
34,7,disjoint
34,8,disjoint
34,11,disjoint
34,13,disjoint
34,15,disjoint
34,17,disjoint
34,19,disjoint
34,28,disjoint
34,27,disjoint
34,26,disjoint
34,25,disjoint
34,24,disjoint
35,0,disjoint
35,1,disjoint
35,2,disjoint
35,4,disjoint
35,7,disjoint
35,8,disjoint
35,11,disjoint
35,13,disjoint
35,15,disjoint
35,17,disjoint
35,19,disjoint
35,28,disjoint
35,27,disjoint
35,26,disjoint
35,25,disjoint
35,24,disjoint
42,0,disjoint
42,1,disjoint
42,2,disjoint
42,4,disjoint
42,7,disjoint
42,8,disjoint
42,11,disjoint
42,13,disjoint
42,15,disjoint
42,17,disjoint
42,19,disjoint
42,28,disjoint
42,27,disjoint
42,26,disjoint
42,25,disjoint
42,24,disjoint
43,0,disjoint
43,1,disjoint
43,2,disjoint
43,4,disjoint
43,7,disjoint
43,8,disjoint
43,11,disjoint
43,13,disjoint
43,15,disjoint
43,17,disjoint
43,19,disjoint
43,28,disjoint
43,27,disjoint
43,26,disjoint
43,25,disjoint
43,24,disjoint
 ,leftRight, 
0,36,nonAdjacent
0,31,nonAdjacent
0,32,nonAdjacent
0,33,nonAdjacent
0,34,nonAdjacent
0,35,left
0,42,nonAdjacent
0,43,nonAdjacent
1,36,nonAdjacent
1,31,nonAdjacent
