Object 1 , Object 2, Relations
 ,RCC8, 
110111,110112,null
110111,110113,ec
110111,110114,dc
110111,110115,dc
110111,110116,dc
110111,110117,dc
110111,110118,dc
110111,110119,dc
110111,110120,dc
110111,110121,dc
110111,110122,dc
110111,110123,dc
110111,110124,dc
110111,110125,dc
110111,110126,dc
110111,110127,dc
110111,110128,dc
110111,110129,dc
110111,110130,dc
110111,110131,dc
110111,110132,dc
110111,110133,dc
110111,110134,dc
110111,110135,dc
110111,110136,dc
110111,110137,dc
110111,110138,dc
110111,110139,dc
110111,24,dc
110111,25,dc
110111,26,dc
110111,27,dc
110111,28,dc
110111,30,dc
110111,29,dc
110112,110113,null
110112,110114,null
110112,110115,dc
110112,110116,null
110112,110117,dc
110112,110118,dc
110112,110119,dc
110112,110120,dc
110112,110121,dc
110112,110122,dc
110112,110123,dc
110112,110124,dc
110112,110125,dc
110112,110126,dc
110112,110127,dc
110112,110128,dc
110112,110129,dc
110112,110130,dc
110112,110131,dc
110112,110132,dc
110112,110133,dc
110112,110134,dc
110112,110135,dc
110112,110136,dc
110112,110137,dc
110112,110138,dc
110112,110139,dc
110112,24,dc
110112,25,dc
110112,26,dc
110112,27,dc
110112,28,dc
110112,30,dc
110112,29,dc
110113,110114,null
110113,110115,dc
110113,110116,dc
110113,110117,dc
110113,110118,dc
110113,110119,dc
110113,110120,dc
110113,110121,dc
110113,110122,dc
110113,110123,dc
110113,110124,dc
110113,110125,dc
110113,110126,dc
110113,110127,dc
110113,110128,dc
110113,110129,dc
110113,110130,dc
110113,110131,dc
110113,110132,dc
110113,110133,dc
110113,110134,dc
110113,110135,dc
110113,110136,dc
110113,110137,dc
110113,110138,dc
110113,110139,dc
110113,24,dc
110113,25,dc
110113,26,dc
110113,27,dc
110113,28,dc
110113,30,dc
110113,29,dc
110114,110115,po
110114,110116,null
110114,110117,dc
110114,110118,dc
110114,110119,dc
110114,110120,dc
110114,110121,dc
110114,110122,dc
110114,110123,dc
110114,110124,dc
110114,110125,dc
110114,110126,dc
110114,110127,dc
110114,110128,dc
110114,110129,dc
110114,110130,dc
110114,110131,dc
110114,110132,dc
110114,110133,dc
110114,110134,dc
110114,110135,dc
110114,110136,dc
110114,110137,dc
110114,110138,dc
110114,110139,dc
110114,24,dc
110114,25,dc
110114,26,dc
110114,27,dc
110114,28,dc
110114,30,dc
110114,29,dc
110115,110116,null
110115,110117,null
110115,110118,dc
110115,110119,dc
110115,110120,dc
110115,110121,dc
110115,110122,dc
110115,110123,dc
110115,110124,dc
110115,110125,dc
110115,110126,dc
110115,110127,dc
110115,110128,dc
110115,110129,dc
110115,110130,dc
110115,110131,dc
110115,110132,dc
110115,110133,dc
110115,110134,dc
110115,110135,dc
110115,110136,dc
110115,110137,dc
110115,110138,dc
110115,110139,dc
110115,24,dc
110115,25,dc
110115,26,dc
110115,27,dc
110115,28,dc
110115,30,dc
110115,29,dc
110116,110117,dc
110116,110118,dc
110116,110119,dc
110116,110120,dc
110116,110121,dc
110116,110122,dc
110116,110123,dc
110116,110124,dc
110116,110125,dc
110116,110126,dc
110116,110127,dc
110116,110128,dc
110116,110129,dc
110116,110130,dc
110116,110131,dc
110116,110132,dc
110116,110133,dc
110116,110134,dc
110116,110135,dc
110116,110136,dc
110116,110137,dc
110116,110138,dc
110116,110139,dc
110116,24,dc
110116,25,dc
110116,26,dc
110116,27,dc
110116,28,dc
110116,30,dc
110116,29,dc
110117,110118,null
110117,110119,dc
110117,110120,dc
110117,110121,dc
110117,110122,dc
110117,110123,dc
110117,110124,dc
110117,110125,dc
110117,110126,dc
110117,110127,dc
110117,110128,dc
110117,110129,dc
110117,110130,dc
110117,110131,dc
110117,110132,dc
110117,110133,dc
110117,110134,dc
110117,110135,dc
110117,110136,dc
110117,110137,dc
110117,110138,dc
110117,110139,dc
110117,24,dc
110117,25,dc
110117,26,dc
110117,27,dc
110117,28,dc
110117,30,dc
110117,29,dc
110118,110119,dc
110118,110120,dc
110118,110121,dc
110118,110122,dc
110118,110123,dc
110118,110124,dc
