BaseId , SketchId , Generalization Type,,,,,,,,,,
0,S0,JunctionMerge,,,,,,,,,,
2,S1,JunctionMerge,,,,,,,,,,
38 36 34 25,S6 S4 S2,Multi-Multi Omission MergeJunctionMergeRoundAboutCollapse,,,,,,,,,,
37 35 33,S3 S5,Abstraction to show existence,,,,,,,,,,
21,S7,RoundAboutCollapse,,,,,,,,,,
27,S9,No generalization,,,,,,,,,,
4,S12,No generalization,,,,,,,,,,
3,S13,JunctionMerge,,,,,,,,,,
40,S14,No generalization,,,,,,,,,,
41,S15,No generalization,,,,,,,,,,
42,S16,No generalization,,,,,,,,,,
39,S17,No generalization,,,,,,,,,,
109 110 108 107 105 106 103 104 102 101 100 99,S21 S20 S19 S18,Abstraction to show existence,,,,,,,,,,
5,S22,No generalization,,,,,,,,,,
6,S23,No generalization,,,,,,,,,,
7,S24,No generalization,,,,,,,,,,
8,S25,No generalization,,,,,,,,,,
11,S31,No generalization,,,,,,,,,,
20,S32,No generalization,,,,,,,,,,
19,S33,No generalization,,,,,,,,,,
18,S34,No generalization,,,,,,,,,,
12,S35,RoundAboutCollapse,,,,,,,,,,
14,S36,RoundAboutCollapse,,,,,,,,,,
16,S37,RoundAboutCollapse,,,,,,,,,,
47 48 49 50 52 51 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75,S42 S41 S40 S39 S38,Abstraction to show existence,,,,,,,,,,
45,S43,No generalization,,,,,,,,,,
44,S44,No generalization,,,,,,,,,,
98 97 93 95 94 92 91 90 89 88 87 86 85 84 83 82 81 80 79 78 76 77 96,S26 S27 S28 S29 S30,Abstraction to show existence,,,,,,,,,,
23 28 30,S8 S10,Multi-Multi Omission MergeRoundAboutCollapse,,,,,,,,,,
27 29,S9,Abstraction to show existence,,,,,,,,,,
Features missing in sketch map,1,9,10,13,15,17,22,24,26,31,32,46
Features drawn extra in sketch map, ,,,,,,,,,,,
