Object 1, Object 2, Relations
 ,RCC8, 
11,14,dc
11,15,dc
11,16,dc
11,17,dc
11,43,dc
11,44,dc
14,15,null
14,16,dc
14,17,dc
14,43,dc
14,44,dc
15,16,null
15,17,dc
15,43,dc
15,44,dc
16,17,dc
16,43,dc
16,44,dc
17,43,dc
17,44,dc
43,44,dc
 ,DE9IM, 
1,11,disjoint
1,14,disjoint
1,15,disjoint
1,16,disjoint
1,17,disjoint
1,43,disjoint
1,44,disjoint
11,12,disjoint
11,23,disjoint
11,25,disjoint
11,33,disjoint
11,35,disjoint
11,36,disjoint
11,37,disjoint
11,0,disjoint
11,13,disjoint
11,22,disjoint
11,24,disjoint
11,31,disjoint
11,34,disjoint
11,32,disjoint
11,7,disjoint
12,14,disjoint
12,15,disjoint
12,16,disjoint
12,17,disjoint
12,43,disjoint
12,44,disjoint
14,23,disjoint
14,25,disjoint
14,33,disjoint
14,35,disjoint
14,36,disjoint
14,37,disjoint
14,0,disjoint
14,13,disjoint
14,22,disjoint
14,24,disjoint
14,31,disjoint
14,34,disjoint
14,32,disjoint
14,7,disjoint
15,23,disjoint
15,25,disjoint
15,33,disjoint
15,35,disjoint
15,36,disjoint
15,37,disjoint
15,0,disjoint
15,13,disjoint
15,22,disjoint
15,24,disjoint
15,31,disjoint
15,34,disjoint
15,32,disjoint
15,7,disjoint
16,23,disjoint
16,25,disjoint
16,33,disjoint
16,35,disjoint
16,36,disjoint
16,37,disjoint
16,0,disjoint
16,13,disjoint
16,22,disjoint
16,24,disjoint
16,31,disjoint
16,34,disjoint
16,32,disjoint
16,7,disjoint
17,23,disjoint
17,25,disjoint
17,33,disjoint
17,35,disjoint
17,36,disjoint
17,37,disjoint
17,0,disjoint
17,13,disjoint
17,22,disjoint
17,24,disjoint
17,31,disjoint
17,34,disjoint
17,32,disjoint
17,7,disjoint
23,43,disjoint
23,44,disjoint
25,43,disjoint
25,44,disjoint
33,43,disjoint
33,44,disjoint
35,43,disjoint
35,44,disjoint
36,43,disjoint
36,44,disjoint
37,43,disjoint
37,44,disjoint
43,0,disjoint
43,13,disjoint
43,22,disjoint
43,24,disjoint
43,31,disjoint
43,34,disjoint
43,32,disjoint
43,7,disjoint
44,0,disjoint
44,13,disjoint
44,22,disjoint
44,24,disjoint
44,31,disjoint
44,34,disjoint
44,32,disjoint
44,7,disjoint
 ,leftRight, 
0,11,nonAdjacent
0,14,nonAdjacent
0,15,nonAdjacent
0,16,nonAdjacent
0,17,left
0,43,nonAdjacent
0,44,nonAdjacent
13,11,nonAdjacent
13,14,nonAdjacent
13,15,nonAdjacent
13,16,nonAdjacent
13,17,left
13,43,nonAdjacent
13,44,nonAdjacent
22,11,nonAdjacent
22,14,nonAdjacent
22,15,nonAdjacent
22,16,nonAdjacent
22,17,nonAdjacent
22,43,nonAdjacent
22,44,nonAdjacent
24,11,nonAdjacent
24,14,nonAdjacent
24,15,nonAdjacent
24,16,nonAdjacent
24,17,nonAdjacent
24,43,nonAdjacent
24,44,nonAdjacent
31,11,nonAdjacent
31,14,nonAdjacent
31,15,nonAdjacent
31,16,nonAdjacent
31,17,nonAdjacent
31,43,right
31,44,nonAdjacent
34,11,nonAdjacent
34,14,nonAdjacent
34,15,nonAdjacent
34,16,nonAdjacent
34,17,nonAdjacent
34,43,crosses
34,44,nonAdjacent
32,11,nonAdjacent
32,14,nonAdjacent
32,15,nonAdjacent
32,16,left
32,17,nonAdjacent
32,43,nonAdjacent
32,44,nonAdjacent
7,11,right
7,14,left
7,15,left
7,16,left
7,17,left
7,43,nonAdjacent
7,44,nonAdjacent
 ,opra, 
1,12,nonAdjacent
1,23,nonAdjacent
1,25,nonAdjacent
1,33,nonAdjacent
1,35,nonAdjacent
1,36,nonAdjacent
1,37,nonAdjacent
1,0,left_of
1,13,left_of
1,22,nonAdjacent
1,24,nonAdjacent
1,31,nonAdjacent
1,34,nonAdjacent
1,32,nonAdjacent
1,7,nonAdjacent
12,23,nonAdjacent
12,25,nonAdjacent
12,33,nonAdjacent
12,35,nonAdjacent
