Object 1 , Object 2, Relations
 ,RCC8, 
110111,110112,dc
110111,110113,dc
110111,110114,dc
110111,15,dc
110111,16,dc
110111,18,dc
110111,17,dc
110111,14,dc
110112,110113,dc
110112,110114,dc
110112,15,dc
110112,16,dc
110112,18,dc
110112,17,dc
110112,14,dc
110113,110114,dc
110113,15,dc
110113,16,dc
110113,18,dc
110113,17,dc
110113,14,dc
110114,15,dc
110114,16,dc
110114,18,dc
110114,17,dc
110114,14,dc
15,16,dc
15,18,dc
15,17,dc
15,14,dc
16,18,dc
16,17,dc
16,14,dc
18,17,dc
18,14,dc
17,14,dc
 ,DE9IM, 
110111,110120,disjoint
110111,110121,disjoint
110111,8,disjoint
110111,1,disjoint
110111,2,disjoint
110111,110125,disjoint
110111,4,disjoint
110111,6,disjoint
110111,5,disjoint
110111,110129,disjoint
110111,10,disjoint
110111,110131,disjoint
110111,110132,disjoint
110111,12,disjoint
110111,3,disjoint
110111,7,disjoint
110111,9,disjoint
110111,11,disjoint
110111,13,disjoint
110111,0,disjoint
110112,110120,disjoint
110112,110121,disjoint
110112,8,disjoint
110112,1,disjoint
110112,2,disjoint
110112,110125,disjoint
110112,4,disjoint
110112,6,disjoint
110112,5,disjoint
110112,110129,disjoint
110112,10,disjoint
110112,110131,disjoint
110112,110132,disjoint
110112,12,disjoint
110112,3,disjoint
110112,7,disjoint
110112,9,disjoint
110112,11,disjoint
110112,13,disjoint
110112,0,disjoint
110113,110120,disjoint
110113,110121,disjoint
110113,8,disjoint
110113,1,disjoint
110113,2,disjoint
110113,110125,disjoint
110113,4,disjoint
110113,6,disjoint
110113,5,disjoint
110113,110129,disjoint
110113,10,disjoint
110113,110131,disjoint
110113,110132,disjoint
110113,12,disjoint
110113,3,disjoint
110113,7,disjoint
110113,9,disjoint
110113,11,disjoint
110113,13,disjoint
110113,0,disjoint
110114,110120,disjoint
110114,110121,disjoint
110114,8,disjoint
110114,1,disjoint
110114,2,disjoint
110114,110125,disjoint
110114,4,disjoint
110114,6,disjoint
110114,5,disjoint
110114,110129,disjoint
110114,10,disjoint
110114,110131,disjoint
110114,110132,disjoint
110114,12,disjoint
110114,3,disjoint
110114,7,disjoint
110114,9,disjoint
110114,11,disjoint
110114,13,disjoint
110114,0,disjoint
15,110120,disjoint
15,110121,disjoint
15,8,disjoint
15,1,disjoint
15,2,disjoint
15,110125,disjoint
15,4,disjoint
15,6,disjoint
15,5,disjoint
15,110129,disjoint
15,10,disjoint
15,110131,disjoint
15,110132,disjoint
15,12,disjoint
15,3,disjoint
15,7,disjoint
15,9,disjoint
15,11,disjoint
15,13,disjoint
15,0,disjoint
16,110120,disjoint
16,110121,disjoint
16,8,disjoint
16,1,disjoint
16,2,disjoint
16,110125,disjoint
16,4,disjoint
16,6,disjoint
16,5,disjoint
16,110129,disjoint
16,10,disjoint
16,110131,disjoint
16,110132,disjoint
16,12,disjoint
16,3,disjoint
16,7,disjoint
16,9,disjoint
16,11,disjoint
16,13,disjoint
16,0,disjoint
18,110120,disjoint
18,110121,disjoint
18,8,disjoint
18,1,disjoint
18,2,disjoint
18,110125,disjoint
18,4,disjoint
18,6,disjoint
18,5,disjoint
18,110129,disjoint
18,10,disjoint
18,110131,disjoint
18,110132,disjoint
18,12,disjoint
18,3,disjoint
18,7,disjoint
18,9,disjoint
