Object 1, Object 2, Relations
 ,RCC8, 
7,8,dc
7,24,dc
7,25,dc
7,26,dc
7,27,dc
8,24,dc
8,25,dc
8,26,dc
8,27,dc
24,25,dc
24,26,dc
24,27,dc
25,26,dc
25,27,dc
26,27,dc
 ,DE9IM, 
7,9,disjoint
7,11,disjoint
7,12,disjoint
7,13,disjoint
7,15,disjoint
7,17,disjoint
7,21,disjoint
7,23,disjoint
7,19,disjoint
7,14,disjoint
7,10,disjoint
7,0,disjoint
7,20,disjoint
7,22,disjoint
7,16,disjoint
7,18,disjoint
8,9,disjoint
8,11,disjoint
8,12,disjoint
8,13,disjoint
8,15,disjoint
8,17,disjoint
8,21,disjoint
8,23,disjoint
8,19,disjoint
8,14,disjoint
8,10,disjoint
8,0,disjoint
8,20,disjoint
8,22,disjoint
8,16,disjoint
8,18,disjoint
9,24,disjoint
9,25,disjoint
9,26,disjoint
9,27,disjoint
11,24,disjoint
11,25,disjoint
11,26,disjoint
11,27,disjoint
12,24,disjoint
12,25,disjoint
12,26,disjoint
12,27,disjoint
13,24,disjoint
13,25,disjoint
13,26,disjoint
13,27,disjoint
15,24,disjoint
15,25,disjoint
15,26,disjoint
15,27,disjoint
17,24,disjoint
17,25,disjoint
17,26,disjoint
17,27,disjoint
21,24,disjoint
21,25,disjoint
21,26,disjoint
21,27,disjoint
23,24,disjoint
23,25,disjoint
23,26,disjoint
23,27,disjoint
24,19,disjoint
24,14,disjoint
24,10,disjoint
24,0,disjoint
24,20,disjoint
24,22,disjoint
24,16,disjoint
24,18,disjoint
25,19,disjoint
25,14,disjoint
25,10,disjoint
25,0,disjoint
25,20,disjoint
25,22,disjoint
25,16,disjoint
25,18,disjoint
26,19,disjoint
26,14,disjoint
26,10,disjoint
26,0,disjoint
26,20,disjoint
26,22,disjoint
26,16,disjoint
26,18,disjoint
27,19,disjoint
27,14,disjoint
27,10,disjoint
27,0,disjoint
27,20,disjoint
27,22,disjoint
27,16,disjoint
27,18,disjoint
 ,leftRight, 
19,7,nonAdjacent
19,8,nonAdjacent
19,24,nonAdjacent
19,25,nonAdjacent
19,26,nonAdjacent
19,27,nonAdjacent
14,7,nonAdjacent
14,8,nonAdjacent
14,24,nonAdjacent
14,25,nonAdjacent
14,26,nonAdjacent
14,27,nonAdjacent
10,7,nonAdjacent
10,8,left
10,24,nonAdjacent
10,25,nonAdjacent
10,26,nonAdjacent
10,27,nonAdjacent
0,7,left
0,8,nonAdjacent
0,24,left
0,25,nonAdjacent
0,26,nonAdjacent
0,27,nonAdjacent
20,7,nonAdjacent
20,8,nonAdjacent
20,24,left
20,25,nonAdjacent
20,26,nonAdjacent
20,27,nonAdjacent
22,7,nonAdjacent
22,8,nonAdjacent
22,24,nonAdjacent
22,25,nonAdjacent
22,26,nonAdjacent
22,27,crosses
16,7,nonAdjacent
16,8,nonAdjacent
16,24,left
16,25,right
16,26,right
16,27,right
18,7,nonAdjacent
18,8,nonAdjacent
18,24,right
18,25,right
18,26,right
18,27,nonAdjacent
 ,opra, 
9,11,nonAdjacent
9,12,nonAdjacent
9,13,nonAdjacent
9,15,nonAdjacent
9,17,nonAdjacent
9,21,nonAdjacent
9,23,nonAdjacent
9,19,nonAdjacent
9,14,nonAdjacent
9,10,right_of
9,0,nonAdjacent
9,20,nonAdjacent
9,22,nonAdjacent
9,16,nonAdjacent
9,18,nonAdjacent
11,12,front_of
11,13,nonAdjacent
11,15,nonAdjacent
11,17,right_of
11,21,nonAdjacent
11,23,nonAdjacent
11,19,nonAdjacent
11,14,nonAdjacent
11,10,nonAdjacent
11,0,right_of
11,20,right_of
11,22,nonAdjacent
11,16,nonAdjacent
11,18,nonAdjacent
12,13,front_of
12,15,nonAdjacent
12,17,right_of
12,21,nonAdjacent
12,23,nonAdjacent
12,19,nonAdjacent
12,14,left_of
12,10,left_of
12,0,nonAdjacent
12,20,nonAdjacent
12,22,nonAdjacent
12,16,nonAdjacent
12,18,nonAdjacent
13,15,nonAdjacent
13,17,nonAdjacent
13,21,nonAdjacent
13,23,nonAdjacent
13,19,nonAdjacent
13,14,left_of
13,10,left_of
13,0,nonAdjacent
13,20,nonAdjacent
13,22,nonAdjacent
13,16,nonAdjacent
13,18,nonAdjacent
15,17,left_of
15,21,nonAdjacent
15,23,nonAdjacent
15,19,right_of
15,14,right_of
15,10,nonAdjacent
15,0,nonAdjacent
15,20,nonAdjacent
15,22,nonAdjacent
15,16,none
15,18,left_of
17,21,nonAdjacent
17,23,nonAdjacent
17,19,nonAdjacent
17,14,nonAdjacent
17,10,nonAdjacent
17,0,nonAdjacent
17,20,nonAdjacent
17,22,nonAdjacent
17,16,left_of
17,18,front_of
21,23,nonAdjacent
21,19,nonAdjacent
21,14,nonAdjacent
21,10,nonAdjacent
21,0,nonAdjacent
21,20,right_of
21,22,right_of
21,16,nonAdjacent
21,18,nonAdjacent
23,19,nonAdjacent
23,14,nonAdjacent
23,10,nonAdjacent
23,0,nonAdjacent
23,20,nonAdjacent
23,22,half_left
23,16,left_of
23,18,nonAdjacent
19,14,front_of
19,10,nonAdjacent
19,0,nonAdjacent
19,20,nonAdjacent
19,22,nonAdjacent
19,16,nonAdjacent
19,18,nonAdjacent
14,10,front_of
14,0,nonAdjacent
14,20,nonAdjacent
14,22,nonAdjacent
14,16,nonAdjacent
14,18,nonAdjacent
10,0,nonAdjacent
10,20,nonAdjacent
10,22,nonAdjacent
10,16,nonAdjacent
10,18,nonAdjacent
0,20,right_of
0,22,nonAdjacent
0,16,nonAdjacent
0,18,nonAdjacent
20,22,left_of
20,16,nonAdjacent
20,18,nonAdjacent
22,16,left_of
22,18,nonAdjacent
16,18,right_of
 ,streetTopology, 
9,11,disconnected
9,12,disconnected
9,13,disconnected
9,15,disconnected
9,17,disconnected
9,21,disconnected
