BaseId , SketchId , Generalization Type
0,S0,JunctionMerge
2,S1,JunctionMerge
3,S2,JunctionMerge
38 36 34 25,S7 S5 S3,Multi-Multi Omission MergeJunctionMergeRoundAboutCollapse
37 35 33,S4 S6,Abstraction to show existence
21,S8,JunctionMergeRoundAboutCollapse
23 28 30,S9 S11,Multi-Multi Omission MergeRoundAboutCollapse
27 29 32,S10 S12,Abstraction to show existence
31,S13,No generalization
19,S14,JunctionMerge
4,S15,JunctionMerge
18,S16,JunctionMerge
12,S17,RoundAboutCollapse
14,S18,RoundAboutCollapse
16,S19,RoundAboutCollapse
11,S20,JunctionMerge
10,S21,JunctionMerge
9,S22,JunctionMerge
44,S24,No generalization
45,S25,No generalization
43,S26,No generalization
46,S27,No generalization
42,S28,No generalization
41 40,S29,Amalgamation
39,S30,No generalization
99 100 102 101 104 103 105 106 110 109 108 107,S35 S34 S33 S32 S31,Abstraction to show existence
98 97 96 93 95 94 92 90 91 89 88 87 86 85 84 83 82 81 80 79 78 77 76,S40 S39 S38 S37 S36,Abstraction to show existence
5 7,S23,OmissionMergeJunctionMerge
Features missing in sketch map, 1,6,8,13,15,17,20,22,24,26,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Features drawn extra in sketch map, 
