Object 1, Object 2, Relations
 ,RCC8, 
24,25,dc
24,26,dc
24,27,dc
24,28,dc
24,29,dc
24,30,dc
25,26,dc
25,27,dc
25,28,dc
25,29,dc
25,30,dc
26,27,dc
26,28,dc
26,29,dc
26,30,dc
27,28,dc
27,29,dc
27,30,dc
28,29,null
28,30,dc
29,30,dc
 ,DE9IM, 
1,24,disjoint
1,25,disjoint
1,26,disjoint
1,27,disjoint
1,28,disjoint
1,29,disjoint
1,30,disjoint
13,24,disjoint
13,25,disjoint
13,26,disjoint
13,27,disjoint
13,28,disjoint
13,29,disjoint
13,30,disjoint
14,24,disjoint
14,25,disjoint
14,26,disjoint
14,27,disjoint
14,28,disjoint
14,29,disjoint
14,30,disjoint
15,24,disjoint
15,25,disjoint
15,26,disjoint
15,27,disjoint
15,28,disjoint
15,29,disjoint
15,30,disjoint
17,24,disjoint
17,25,disjoint
17,26,disjoint
17,27,disjoint
17,28,disjoint
17,29,disjoint
17,30,disjoint
18,24,disjoint
18,25,disjoint
18,26,disjoint
18,27,disjoint
18,28,disjoint
18,29,disjoint
18,30,disjoint
19,24,disjoint
19,25,disjoint
19,26,disjoint
19,27,disjoint
19,28,disjoint
19,29,disjoint
19,30,disjoint
21,24,disjoint
21,25,disjoint
21,26,disjoint
21,27,disjoint
21,28,disjoint
21,29,disjoint
21,30,disjoint
22,24,disjoint
22,25,disjoint
22,26,disjoint
22,27,disjoint
22,28,disjoint
22,29,disjoint
22,30,disjoint
24,0,disjoint
24,2,disjoint
24,23,disjoint
24,20,disjoint
24,16,disjoint
24,8,disjoint
25,0,disjoint
25,2,disjoint
25,23,disjoint
25,20,disjoint
25,16,disjoint
25,8,disjoint
26,0,disjoint
26,2,disjoint
26,23,disjoint
26,20,disjoint
26,16,disjoint
26,8,disjoint
27,0,disjoint
27,2,disjoint
27,23,disjoint
27,20,disjoint
27,16,disjoint
27,8,disjoint
28,0,disjoint
28,2,disjoint
28,23,disjoint
28,20,disjoint
28,16,disjoint
28,8,disjoint
29,0,disjoint
29,2,disjoint
29,23,disjoint
29,20,disjoint
29,16,disjoint
29,8,disjoint
30,0,disjoint
30,2,disjoint
30,23,disjoint
30,20,disjoint
30,16,disjoint
30,8,disjoint
 ,leftRight, 
0,24,nonAdjacent
0,25,nonAdjacent
0,26,nonAdjacent
0,27,nonAdjacent
0,28,nonAdjacent
0,29,nonAdjacent
0,30,left
2,24,nonAdjacent
2,25,nonAdjacent
2,26,nonAdjacent
2,27,nonAdjacent
2,28,nonAdjacent
2,29,nonAdjacent
2,30,left
23,24,nonAdjacent
23,25,nonAdjacent
23,26,nonAdjacent
23,27,crosses
23,28,nonAdjacent
23,29,nonAdjacent
23,30,nonAdjacent
20,24,nonAdjacent
20,25,right
20,26,nonAdjacent
20,27,right
20,28,nonAdjacent
20,29,nonAdjacent
20,30,nonAdjacent
16,24,nonAdjacent
16,25,crosses
16,26,nonAdjacent
16,27,nonAdjacent
16,28,nonAdjacent
16,29,nonAdjacent
16,30,nonAdjacent
8,24,nonAdjacent
8,25,nonAdjacent
8,26,right
8,27,nonAdjacent
8,28,left
8,29,left
8,30,left
 ,opra, 
1,13,nonAdjacent
1,14,nonAdjacent
1,15,nonAdjacent
1,17,nonAdjacent
1,18,nonAdjacent
1,19,nonAdjacent
1,21,nonAdjacent
1,22,nonAdjacent
1,0,right_of
1,2,right_of
1,23,nonAdjacent
1,20,nonAdjacent
1,16,nonAdjacent
1,8,nonAdjacent
13,14,nonAdjacent
13,15,nonAdjacent
13,17,nonAdjacent
13,18,nonAdjacent
13,19,nonAdjacent
13,21,nonAdjacent
13,22,nonAdjacent
13,0,nonAdjacent
13,2,nonAdjacent
13,23,nonAdjacent
13,20,nonAdjacent
13,16,nonAdjacent
13,8,nonAdjacent
14,15,right_of
14,17,nonAdjacent
14,18,nonAdjacent
14,19,nonAdjacent
14,21,nonAdjacent
14,22,nonAdjacent
14,0,nonAdjacent
14,2,nonAdjacent
14,23,nonAdjacent
14,20,nonAdjacent
14,16,left_of
14,8,left_of
15,17,nonAdjacent
15,18,nonAdjacent
15,19,nonAdjacent
15,21,nonAdjacent
15,22,nonAdjacent
15,0,nonAdjacent
15,2,left_of
15,23,left_of
15,20,nonAdjacent
15,16,right_of
15,8,right_of
17,18,right_of
17,19,half_left
17,21,nonAdjacent
17,22,nonAdjacent
17,0,nonAdjacent
17,2,nonAdjacent
17,23,nonAdjacent
17,20,front_of
17,16,left_of
17,8,nonAdjacent
18,19,left_of
18,21,nonAdjacent
18,22,nonAdjacent
18,0,nonAdjacent
18,2,nonAdjacent
18,23,nonAdjacent
18,20,nonAdjacent
18,16,nonAdjacent
18,8,nonAdjacent
19,21,nonAdjacent
19,22,nonAdjacent
19,0,nonAdjacent
19,2,nonAdjacent
19,23,nonAdjacent
19,20,nonAdjacent
19,16,nonAdjacent
19,8,nonAdjacent
21,22,right_of
21,0,nonAdjacent
21,2,nonAdjacent
21,23,front_of
21,20,left_of
21,16,nonAdjacent
21,8,nonAdjacent
22,0,nonAdjacent
22,2,nonAdjacent
22,23,left_of
22,20,left_of
22,16,nonAdjacent
22,8,nonAdjacent
0,2,front_of
0,23,nonAdjacent
0,20,nonAdjacent
0,16,nonAdjacent
0,8,nonAdjacent
2,23,front_of
2,20,nonAdjacent
2,16,nonAdjacent
2,8,nonAdjacent
23,20,half_left
23,16,nonAdjacent
23,8,nonAdjacent
20,16,left_of
20,8,nonAdjacent
16,8,front_of
 ,streetTopology, 
1,13,disconnected
