Object 1 , Object 2, Relations
 ,RCC8, 
110111,14,dc
110111,15,dc
110111,16,dc
110111,17,dc
110111,43,dc
110111,44,dc
14,15,null
14,16,dc
14,17,dc
14,43,dc
14,44,dc
15,16,null
15,17,dc
15,43,dc
15,44,dc
16,17,dc
16,43,dc
16,44,dc
17,43,dc
17,44,dc
43,44,dc
 ,DE9IM, 
110111,36,disjoint
110111,110184,disjoint
110111,110185,disjoint
110111,25,disjoint
110111,23,disjoint
110111,12,disjoint
110111,35,disjoint
110111,G33,disjoint
110111,G3,disjoint
110111,7,disjoint
110111,33,disjoint
110111,0,disjoint
110111,1,disjoint
110111,13,disjoint
110111,110201,disjoint
110111,110202,disjoint
110111,37,disjoint
110111,34,disjoint
110111,22,disjoint
110111,24,disjoint
110111,31,disjoint
110111,32,disjoint
14,36,disjoint
14,110184,disjoint
14,110185,disjoint
14,25,disjoint
14,23,disjoint
14,12,disjoint
14,35,disjoint
14,G33,disjoint
14,G3,disjoint
14,7,disjoint
14,33,disjoint
14,0,disjoint
14,1,disjoint
14,13,disjoint
14,110201,disjoint
14,110202,disjoint
14,37,disjoint
14,34,disjoint
14,22,disjoint
14,24,disjoint
14,31,disjoint
14,32,disjoint
15,36,disjoint
15,110184,disjoint
15,110185,disjoint
15,25,disjoint
15,23,disjoint
15,12,disjoint
15,35,disjoint
15,G33,disjoint
15,G3,disjoint
15,7,disjoint
15,33,disjoint
15,0,disjoint
15,1,disjoint
15,13,disjoint
15,110201,disjoint
15,110202,disjoint
15,37,disjoint
15,34,disjoint
15,22,disjoint
15,24,disjoint
15,31,disjoint
15,32,disjoint
16,36,disjoint
16,110184,disjoint
16,110185,disjoint
16,25,disjoint
16,23,disjoint
16,12,disjoint
16,35,disjoint
16,G33,disjoint
16,G3,disjoint
16,7,disjoint
16,33,disjoint
16,0,disjoint
16,1,disjoint
16,13,disjoint
16,110201,disjoint
16,110202,disjoint
16,37,disjoint
16,34,disjoint
16,22,disjoint
16,24,disjoint
16,31,disjoint
16,32,disjoint
17,36,disjoint
17,110184,disjoint
17,110185,disjoint
17,25,disjoint
17,23,disjoint
17,12,disjoint
17,35,disjoint
17,G33,disjoint
17,G3,disjoint
17,7,disjoint
17,33,disjoint
17,0,disjoint
17,1,disjoint
17,13,disjoint
17,110201,disjoint
17,110202,disjoint
17,37,disjoint
17,34,disjoint
17,22,disjoint
17,24,disjoint
17,31,disjoint
17,32,disjoint
43,36,disjoint
43,110184,disjoint
43,110185,disjoint
43,25,disjoint
43,23,disjoint
43,12,disjoint
43,35,disjoint
43,G33,disjoint
43,G3,disjoint
43,7,disjoint
43,33,disjoint
43,0,disjoint
43,1,disjoint
43,13,disjoint
43,110201,disjoint
43,110202,disjoint
43,37,disjoint
43,34,disjoint
43,22,disjoint
43,24,disjoint
43,31,disjoint
43,32,disjoint
44,36,disjoint
44,110184,disjoint
44,110185,disjoint
44,25,disjoint
44,23,disjoint
44,12,disjoint
44,35,disjoint
44,G33,disjoint
44,G3,disjoint
44,7,disjoint
44,33,disjoint
44,0,disjoint
44,1,disjoint
44,13,disjoint
44,110201,disjoint
44,110202,disjoint
44,37,disjoint
44,34,disjoint
44,22,disjoint
44,24,disjoint
44,31,disjoint
44,32,disjoint
 ,leftRight, 
7,110111,nonAdjacent
7,14,left
7,15,left
7,16,left
7,17,left
7,43,nonAdjacent
7,44,nonAdjacent
0,110111,nonAdjacent
0,14,nonAdjacent
0,15,nonAdjacent
0,16,nonAdjacent
0,17,nonAdjacent
0,43,nonAdjacent
0,44,nonAdjacent
13,110111,nonAdjacent
13,14,nonAdjacent
13,15,nonAdjacent
13,16,nonAdjacent
13,17,left
13,43,nonAdjacent
13,44,nonAdjacent
34,110111,nonAdjacent
34,14,nonAdjacent
34,15,nonAdjacent
34,16,nonAdjacent
34,17,nonAdjacent
34,43,crosses
34,44,nonAdjacent
22,110111,nonAdjacent
22,14,nonAdjacent
22,15,nonAdjacent
22,16,nonAdjacent
22,17,nonAdjacent
22,43,nonAdjacent
22,44,nonAdjacent
24,110111,nonAdjacent
24,14,nonAdjacent
24,15,nonAdjacent
24,16,nonAdjacent
24,17,nonAdjacent
24,43,nonAdjacent
24,44,nonAdjacent
31,110111,right
31,14,nonAdjacent
31,15,nonAdjacent
31,16,nonAdjacent
31,17,nonAdjacent
31,43,right
31,44,nonAdjacent
32,110111,nonAdjacent
32,14,nonAdjacent
32,15,nonAdjacent
32,16,left
32,17,nonAdjacent
32,43,nonAdjacent
32,44,nonAdjacent
 ,opra, 
36,110184,nonAdjacent
36,110185,nonAdjacent
36,25,nonAdjacent
36,23,nonAdjacent
36,12,nonAdjacent
36,35,right_of
36,G33,nonAdjacent
36,G3,nonAdjacent
36,7,nonAdjacent
36,33,nonAdjacent
36,0,nonAdjacent
36,1,nonAdjacent
36,13,nonAdjacent
36,110201,nonAdjacent
36,110202,nonAdjacent
36,37,half_right
36,34,nonAdjacent
36,22,nonAdjacent
36,24,nonAdjacent
36,31,nonAdjacent
36,32,nonAdjacent
110184,110185,nonAdjacent
110184,25,nonAdjacent
110184,23,nonAdjacent
110184,12,nonAdjacent
110184,35,nonAdjacent
110184,G33,nonAdjacent
110184,G3,nonAdjacent
110184,7,nonAdjacent
110184,33,nonAdjacent
110184,0,nonAdjacent
110184,1,nonAdjacent
110184,13,nonAdjacent
110184,110201,nonAdjacent
110184,110202,nonAdjacent
110184,37,nonAdjacent
110184,34,nonAdjacent
110184,22,nonAdjacent
110184,24,nonAdjacent
110184,31,nonAdjacent
110184,32,nonAdjacent
110185,25,right_of
110185,23,nonAdjacent
110185,12,nonAdjacent
110185,35,nonAdjacent
110185,G33,nonAdjacent
110185,G3,nonAdjacent
110185,7,nonAdjacent
110185,33,nonAdjacent
110185,0,nonAdjacent
110185,1,nonAdjacent
110185,13,nonAdjacent
110185,110201,nonAdjacent
110185,110202,nonAdjacent
110185,37,nonAdjacent
110185,34,nonAdjacent
110185,22,nonAdjacent
110185,24,nonAdjacent
110185,31,nonAdjacent
110185,32,nonAdjacent
25,23,nonAdjacent
25,12,nonAdjacent
25,35,nonAdjacent
25,G33,nonAdjacent
25,G3,nonAdjacent
25,7,nonAdjacent
25,33,nonAdjacent
25,0,nonAdjacent
25,1,nonAdjacent
25,13,nonAdjacent
25,110201,nonAdjacent
25,110202,nonAdjacent
25,37,nonAdjacent
25,34,nonAdjacent
25,22,nonAdjacent
25,24,right_of
25,31,half_right
25,32,nonAdjacent
23,12,nonAdjacent
23,35,nonAdjacent
23,G33,nonAdjacent
23,G3,nonAdjacent
23,7,nonAdjacent
23,33,nonAdjacent
23,0,nonAdjacent
23,1,nonAdjacent
23,13,nonAdjacent
23,110201,nonAdjacent
23,110202,nonAdjacent
23,37,nonAdjacent
23,34,nonAdjacent
23,22,right_of
23,24,half_right
23,31,nonAdjacent
23,32,nonAdjacent
12,35,nonAdjacent
12,G33,nonAdjacent
12,G3,nonAdjacent
12,7,left_of
12,33,nonAdjacent
12,0,nonAdjacent
12,1,nonAdjacent
12,13,right_of
12,110201,nonAdjacent
12,110202,nonAdjacent
12,37,nonAdjacent
12,34,nonAdjacent
12,22,right_of
12,24,nonAdjacent
12,31,nonAdjacent
12,32,left_of
35,G33,nonAdjacent
35,G3,nonAdjacent
35,7,nonAdjacent
35,33,nonAdjacent
35,0,nonAdjacent
35,1,nonAdjacent
35,13,nonAdjacent
35,110201,nonAdjacent
35,110202,nonAdjacent
35,37,half_left
35,34,left_of
35,22,nonAdjacent
35,24,nonAdjacent
35,31,front_of
35,32,nonAdjacent
G33,G3,right_of
G33,7,left_of
G33,33,nonAdjacent
G33,0,nonAdjacent
G33,1,nonAdjacent
G33,13,nonAdjacent
G33,110201,half_right
G33,110202,half_left
G33,37,nonAdjacent
G33,34,nonAdjacent
G33,22,nonAdjacent
G33,24,nonAdjacent
G33,31,nonAdjacent
G33,32,nonAdjacent
G3,7,right_of
G3,33,nonAdjacent
G3,0,right_of
G3,1,half_left
G3,13,left_of
G3,110201,nonAdjacent
G3,110202,nonAdjacent
G3,37,nonAdjacent
G3,34,nonAdjacent
G3,22,nonAdjacent
G3,24,nonAdjacent
G3,31,nonAdjacent
G3,32,nonAdjacent
7,33,nonAdjacent
7,0,nonAdjacent
7,1,nonAdjacent
7,13,nonAdjacent
7,110201,nonAdjacent
7,110202,nonAdjacent
7,37,nonAdjacent
7,34,nonAdjacent
7,22,nonAdjacent
7,24,nonAdjacent
7,31,nonAdjacent
7,32,front_of
33,0,nonAdjacent
33,1,nonAdjacent
33,13,nonAdjacent
33,110201,nonAdjacent
33,110202,nonAdjacent
33,37,nonAdjacent
33,34,left_of
33,22,nonAdjacent
33,24,nonAdjacent
33,31,nonAdjacent
33,32,left_of
0,1,left_of
0,13,right_of
0,110201,nonAdjacent
0,110202,nonAdjacent
0,37,nonAdjacent
0,34,nonAdjacent
0,22,nonAdjacent
0,24,nonAdjacent
0,31,nonAdjacent
0,32,nonAdjacent
1,13,half_left
1,110201,nonAdjacent
1,110202,nonAdjacent
1,37,nonAdjacent
1,34,nonAdjacent
1,22,nonAdjacent
1,24,nonAdjacent
1,31,nonAdjacent
1,32,nonAdjacent
13,110201,nonAdjacent
13,110202,nonAdjacent
13,37,nonAdjacent
13,34,nonAdjacent
13,22,front_of
13,24,nonAdjacent
13,31,nonAdjacent
13,32,nonAdjacent
110201,110202,left_of
110201,37,nonAdjacent
110201,34,nonAdjacent
110201,22,nonAdjacent
110201,24,nonAdjacent
110201,31,nonAdjacent
110201,32,nonAdjacent
110202,37,nonAdjacent
110202,34,nonAdjacent
110202,22,nonAdjacent
110202,24,nonAdjacent
110202,31,nonAdjacent
110202,32,nonAdjacent
37,34,nonAdjacent
37,22,nonAdjacent
37,24,nonAdjacent
37,31,nonAdjacent
37,32,nonAdjacent
34,22,nonAdjacent
34,24,nonAdjacent
34,31,right_of
34,32,front_of
22,24,half_left
22,31,nonAdjacent
22,32,nonAdjacent
24,31,half_left
24,32,nonAdjacent
31,32,nonAdjacent
 ,streetTopology, 
36,110184,disconnected
36,110185,disconnected
36,25,disconnected
36,23,disconnected
36,12,disconnected
36,35,connected
36,G33,disconnected
36,G3,disconnected
36,7,disconnected
36,33,disconnected
36,0,disconnected
36,1,disconnected
36,13,disconnected
36,110201,disconnected
36,110202,disconnected
36,37,connected
36,34,disconnected
36,22,disconnected
36,24,disconnected
36,31,disconnected
36,32,disconnected
110184,110185,disconnected
110184,25,disconnected
110184,23,disconnected
110184,12,disconnected
110184,35,disconnected
110184,G33,disconnected
110184,G3,disconnected
110184,7,disconnected
110184,33,disconnected
110184,0,disconnected
110184,1,disconnected
110184,13,disconnected
110184,110201,disconnected
110184,110202,disconnected
110184,37,disconnected
110184,34,disconnected
110184,22,disconnected
110184,24,disconnected
110184,31,disconnected
110184,32,disconnected
110185,25,connected
110185,23,disconnected
110185,12,disconnected
110185,35,disconnected
110185,G33,disconnected
110185,G3,disconnected
110185,7,disconnected
110185,33,disconnected
110185,0,disconnected
110185,1,disconnected
110185,13,disconnected
110185,110201,disconnected
110185,110202,disconnected
110185,37,disconnected
110185,34,disconnected
110185,22,disconnected
110185,24,disconnected
110185,31,disconnected
110185,32,disconnected
25,23,disconnected
25,12,disconnected
25,35,disconnected
25,G33,disconnected
25,G3,disconnected
25,7,disconnected
25,33,disconnected
25,0,disconnected
25,1,disconnected
25,13,disconnected
25,110201,disconnected
25,110202,disconnected
25,37,disconnected
25,34,disconnected
25,22,disconnected
25,24,connected
25,31,connected
25,32,disconnected
23,12,disconnected
23,35,disconnected
23,G33,disconnected
23,G3,disconnected
23,7,disconnected
23,33,disconnected
23,0,disconnected
23,1,disconnected
23,13,disconnected
23,110201,disconnected
23,110202,disconnected
23,37,disconnected
23,34,disconnected
23,22,connected
23,24,connected
23,31,disconnected
23,32,disconnected
12,35,disconnected
12,G33,disconnected
12,G3,disconnected
12,7,connected
12,33,disconnected
12,0,disconnected
12,1,disconnected
12,13,connected
12,110201,disconnected
12,110202,disconnected
12,37,disconnected
12,34,disconnected
12,22,connected
12,24,disconnected
12,31,disconnected
12,32,connected
35,G33,disconnected
35,G3,disconnected
35,7,disconnected
35,33,disconnected
35,0,disconnected
35,1,disconnected
35,13,disconnected
35,110201,disconnected
35,110202,disconnected
35,37,connected
35,34,connected
35,22,disconnected
35,24,disconnected
35,31,connected
35,32,disconnected
G33,G3,connected
G33,7,connected
G33,33,disconnected
G33,0,disconnected
G33,1,disconnected
G33,13,disconnected
G33,110201,connected
G33,110202,connected
G33,37,disconnected
G33,34,disconnected
G33,22,disconnected
G33,24,disconnected
G33,31,disconnected
G33,32,disconnected
G3,7,connected
G3,33,disconnected
G3,0,connected
G3,1,connected
G3,13,connected
G3,110201,disconnected
G3,110202,disconnected
