Object 1 , Object 2, Relations
 ,RCC8, 
110118,110119,dc
110118,110120,dc
110118,110121,dc
110118,110122,dc
110118,24,dc
110118,25,dc
110118,26,dc
110118,27,dc
110118,28,dc
110118,31,dc
110118,32,dc
110118,33,dc
110118,35,dc
110118,34,dc
110118,30,dc
110118,39,dc
110119,110120,dc
110119,110121,dc
110119,110122,dc
110119,24,dc
110119,25,dc
110119,26,dc
110119,27,dc
110119,28,dc
110119,31,dc
110119,32,dc
110119,33,dc
110119,35,dc
110119,34,dc
110119,30,dc
110119,39,dc
110120,110121,ec
110120,110122,dc
110120,24,dc
110120,25,dc
110120,26,dc
110120,27,dc
110120,28,dc
110120,31,ntpp
110120,32,dc
110120,33,dc
110120,35,dc
110120,34,dc
110120,30,null
110120,39,dc
110121,110122,dc
110121,24,dc
110121,25,dc
110121,26,dc
110121,27,dc
110121,28,dc
110121,31,ntpp
110121,32,dc
110121,33,dc
110121,35,dc
110121,34,dc
110121,30,ec
110121,39,dc
110122,24,dc
110122,25,null
110122,26,null
110122,27,dc
110122,28,dc
110122,31,dc
110122,32,dc
110122,33,dc
110122,35,dc
110122,34,dc
110122,30,dc
110122,39,dc
24,25,dc
24,26,dc
24,27,dc
24,28,dc
24,31,dc
24,32,dc
24,33,dc
24,35,dc
24,34,dc
24,30,dc
24,39,dc
25,26,dc
25,27,dc
25,28,dc
25,31,dc
25,32,dc
25,33,dc
25,35,dc
25,34,dc
25,30,dc
25,39,dc
26,27,dc
26,28,dc
26,31,dc
26,32,dc
26,33,dc
26,35,dc
26,34,dc
26,30,dc
26,39,dc
27,28,dc
27,31,dc
27,32,dc
27,33,dc
27,35,dc
27,34,dc
27,30,dc
27,39,dc
28,31,dc
28,32,dc
28,33,dc
28,35,dc
28,34,dc
28,30,dc
28,39,dc
31,32,dc
31,33,dc
31,35,dc
31,34,dc
31,30,po
31,39,dc
32,33,dc
32,35,dc
32,34,dc
32,30,dc
32,39,dc
33,35,dc
33,34,dc
33,30,dc
33,39,dc
35,34,dc
35,30,dc
35,39,dc
34,30,dc
34,39,dc
30,39,dc
 ,DE9IM, 
110118,110135,disjoint
110118,5,disjoint
110118,10,disjoint
110118,21,disjoint
110118,18,disjoint
110118,110144,disjoint
110118,8,disjoint
110118,1,disjoint
110118,20,disjoint
110118,3,disjoint
110118,23,disjoint
110118,19,disjoint
110118,7,disjoint
110118,0,disjoint
110118,9,disjoint
110118,G42,disjoint
110118,2,disjoint
110118,6,disjoint
110118,4,disjoint
110118,22,disjoint
110119,110135,disjoint
110119,5,disjoint
110119,10,disjoint
110119,21,disjoint
110119,18,disjoint
110119,110144,disjoint
110119,8,disjoint
110119,1,disjoint
110119,20,disjoint
110119,3,disjoint
110119,23,disjoint
110119,19,disjoint
110119,7,disjoint
110119,0,disjoint
110119,9,disjoint
110119,G42,disjoint
110119,2,disjoint
110119,6,disjoint
110119,4,disjoint
110119,22,disjoint
110120,110135,disjoint
110120,5,disjoint
110120,10,disjoint
110120,21,disjoint
110120,18,disjoint
110120,110144,disjoint
110120,8,disjoint
110120,1,disjoint
110120,20,disjoint
110120,3,disjoint
110120,23,disjoint
110120,19,disjoint
110120,7,disjoint
110120,0,disjoint
110120,9,disjoint
110120,G42,disjoint
110120,2,disjoint
110120,6,disjoint
110120,4,disjoint
110120,22,disjoint
110121,110135,disjoint
110121,5,disjoint
110121,10,disjoint
110121,21,disjoint
110121,18,disjoint
110121,110144,disjoint
110121,8,disjoint
110121,1,disjoint
110121,20,disjoint
110121,3,disjoint
110121,23,disjoint
110121,19,disjoint
110121,7,disjoint
110121,0,disjoint
110121,9,disjoint
110121,G42,disjoint
110121,2,disjoint
110121,6,disjoint
110121,4,disjoint
110121,22,disjoint
110122,110135,disjoint
110122,5,disjoint
110122,10,disjoint
110122,21,disjoint
110122,18,disjoint
110122,110144,disjoint
110122,8,disjoint
110122,1,disjoint
110122,20,disjoint
110122,3,disjoint
110122,23,disjoint
110122,19,disjoint
110122,7,disjoint
110122,0,disjoint
110122,9,disjoint
110122,G42,disjoint
110122,2,disjoint
110122,6,disjoint
110122,4,disjoint
110122,22,disjoint
24,110135,disjoint
24,5,disjoint
24,10,disjoint
24,21,disjoint
24,18,disjoint
24,110144,disjoint
24,8,disjoint
24,1,disjoint
24,20,disjoint
24,3,disjoint
24,23,disjoint
24,19,disjoint
24,7,disjoint
24,0,disjoint
24,9,disjoint
24,G42,disjoint
24,2,disjoint
24,6,disjoint
24,4,disjoint
24,22,disjoint
25,110135,disjoint
25,5,disjoint
25,10,disjoint
25,21,disjoint
25,18,disjoint
25,110144,disjoint
25,8,disjoint
25,1,disjoint
25,20,disjoint
25,3,disjoint
25,23,disjoint
25,19,disjoint
25,7,disjoint
25,0,disjoint
25,9,disjoint
25,G42,disjoint
25,2,disjoint
25,6,disjoint
25,4,disjoint
25,22,disjoint
26,110135,disjoint
26,5,disjoint
26,10,disjoint
26,21,disjoint
26,18,disjoint
26,110144,disjoint
26,8,disjoint
26,1,disjoint
26,20,disjoint
26,3,disjoint
26,23,disjoint
26,19,disjoint
26,7,disjoint
26,0,disjoint
26,9,disjoint
26,G42,disjoint
26,2,disjoint
26,6,disjoint
26,4,disjoint
26,22,disjoint
27,110135,disjoint
27,5,disjoint
27,10,disjoint
27,21,disjoint
27,18,disjoint
27,110144,disjoint
27,8,disjoint
27,1,disjoint
27,20,disjoint
27,3,disjoint
27,23,disjoint
27,19,disjoint
27,7,disjoint
27,0,disjoint
27,9,disjoint
27,G42,disjoint
27,2,disjoint
27,6,disjoint
27,4,disjoint
