Object 1, Object 2, Relations
 ,RCC8, 
14,15,dc
14,16,dc
14,17,dc
14,18,dc
15,16,dc
15,17,dc
15,18,dc
16,17,dc
16,18,dc
17,18,dc
 ,DE9IM, 
2,14,disjoint
2,15,disjoint
2,16,disjoint
2,17,disjoint
2,18,disjoint
4,14,disjoint
4,15,disjoint
4,16,disjoint
4,17,disjoint
4,18,disjoint
5,14,disjoint
5,15,disjoint
5,16,disjoint
5,17,disjoint
5,18,disjoint
8,14,disjoint
8,15,disjoint
8,16,disjoint
8,17,disjoint
8,18,disjoint
10,14,disjoint
10,15,disjoint
10,16,disjoint
10,17,disjoint
10,18,disjoint
12,14,disjoint
12,15,disjoint
12,16,disjoint
12,17,disjoint
12,18,disjoint
14,0,disjoint
14,1,disjoint
14,6,disjoint
14,7,disjoint
14,9,disjoint
14,11,disjoint
14,13,disjoint
14,3,disjoint
15,0,disjoint
15,1,disjoint
15,6,disjoint
15,7,disjoint
15,9,disjoint
15,11,disjoint
15,13,disjoint
15,3,disjoint
16,0,disjoint
16,1,disjoint
16,6,disjoint
16,7,disjoint
16,9,disjoint
16,11,disjoint
16,13,disjoint
16,3,disjoint
17,0,disjoint
17,1,disjoint
17,6,disjoint
17,7,disjoint
17,9,disjoint
17,11,disjoint
17,13,disjoint
17,3,disjoint
18,0,disjoint
18,1,disjoint
18,6,disjoint
18,7,disjoint
18,9,disjoint
18,11,disjoint
18,13,disjoint
18,3,disjoint
 ,leftRight, 
0,14,nonAdjacent
0,15,nonAdjacent
0,16,nonAdjacent
0,17,nonAdjacent
0,18,nonAdjacent
1,14,nonAdjacent
1,15,nonAdjacent
1,16,nonAdjacent
1,17,left
1,18,nonAdjacent
6,14,nonAdjacent
6,15,nonAdjacent
6,16,nonAdjacent
6,17,nonAdjacent
6,18,nonAdjacent
7,14,nonAdjacent
7,15,nonAdjacent
7,16,nonAdjacent
7,17,nonAdjacent
7,18,left
9,14,nonAdjacent
9,15,nonAdjacent
9,16,nonAdjacent
9,17,nonAdjacent
9,18,nonAdjacent
11,14,nonAdjacent
11,15,nonAdjacent
11,16,nonAdjacent
11,17,left
11,18,nonAdjacent
13,14,nonAdjacent
13,15,nonAdjacent
13,16,right
13,17,left
13,18,nonAdjacent
3,14,nonAdjacent
3,15,right
3,16,right
3,17,crosses
3,18,nonAdjacent
 ,opra, 
2,4,nonAdjacent
2,5,nonAdjacent
2,8,nonAdjacent
2,10,nonAdjacent
2,12,nonAdjacent
2,0,right_of
2,1,right_of
2,6,nonAdjacent
2,7,nonAdjacent
2,9,nonAdjacent
2,11,nonAdjacent
2,13,right_of
2,3,left_of
4,5,left_of
4,8,nonAdjacent
4,10,nonAdjacent
4,12,nonAdjacent
4,0,nonAdjacent
4,1,right_of
4,6,right_of
4,7,half_left
4,9,front_of
4,11,nonAdjacent
4,13,nonAdjacent
4,3,nonAdjacent
5,8,nonAdjacent
5,10,nonAdjacent
5,12,nonAdjacent
5,0,nonAdjacent
5,1,left_of
5,6,left_of
5,7,nonAdjacent
5,9,nonAdjacent
5,11,nonAdjacent
5,13,nonAdjacent
5,3,nonAdjacent
8,10,nonAdjacent
8,12,nonAdjacent
8,0,nonAdjacent
8,1,nonAdjacent
8,6,front_of
8,7,left_of
8,9,nonAdjacent
8,11,nonAdjacent
8,13,nonAdjacent
8,3,nonAdjacent
10,12,nonAdjacent
10,0,nonAdjacent
10,1,nonAdjacent
10,6,nonAdjacent
10,7,nonAdjacent
10,9,front_of
10,11,left_of
10,13,nonAdjacent
10,3,nonAdjacent
12,0,nonAdjacent
12,1,nonAdjacent
12,6,nonAdjacent
12,7,nonAdjacent
12,9,nonAdjacent
12,11,half_left
12,13,left_of
12,3,nonAdjacent
0,1,front_of
0,6,nonAdjacent
0,7,nonAdjacent
0,9,nonAdjacent
0,11,nonAdjacent
0,13,nonAdjacent
0,3,nonAdjacent
1,6,front_of
1,7,nonAdjacent
1,9,nonAdjacent
1,11,nonAdjacent
1,13,nonAdjacent
1,3,nonAdjacent
6,7,left_of
6,9,nonAdjacent
6,11,nonAdjacent
6,13,nonAdjacent
6,3,nonAdjacent
7,9,half_right
7,11,nonAdjacent
7,13,nonAdjacent
7,3,nonAdjacent
9,11,left_of
9,13,nonAdjacent
9,3,nonAdjacent
11,13,left_of
11,3,nonAdjacent
13,3,right_of
 ,streetTopology, 
2,4,disconnected
2,5,disconnected
2,8,disconnected
2,10,disconnected
2,12,disconnected
2,0,connected
2,1,connected
2,6,disconnected
2,7,disconnected
2,9,disconnected
2,11,disconnected
2,13,connected
2,3,connected
4,5,connected
4,8,disconnected
4,10,disconnected
4,12,disconnected
4,0,disconnected
4,1,connected
4,6,connected
4,7,connected
4,9,connected
4,11,disconnected
4,13,disconnected
4,3,disconnected
5,8,disconnected
5,10,disconnected
5,12,disconnected
5,0,disconnected
5,1,connected
5,6,connected
5,7,disconnected
5,9,disconnected
5,11,disconnected
5,13,disconnected
5,3,disconnected
8,10,disconnected
8,12,disconnected
8,0,disconnected
8,1,disconnected
8,6,connected
8,7,connected
8,9,disconnected
8,11,disconnected
8,13,disconnected
8,3,disconnected
10,12,disconnected
10,0,disconnected
10,1,disconnected
10,6,disconnected
10,7,disconnected
10,9,connected
10,11,connected
10,13,disconnected
10,3,disconnected
12,0,disconnected
12,1,disconnected
12,6,disconnected
12,7,disconnected
12,9,disconnected
12,11,connected
12,13,connected
12,3,disconnected
0,1,connected
0,6,disconnected
0,7,disconnected
0,9,disconnected
0,11,disconnected
0,13,disconnected
0,3,disconnected
1,6,connected
1,7,disconnected
1,9,disconnected
1,11,disconnected
1,13,disconnected
1,3,disconnected
6,7,connected
6,9,disconnected
6,11,disconnected
6,13,disconnected
6,3,disconnected
7,9,connected
7,11,disconnected
7,13,disconnected
7,3,disconnected
9,11,connected
9,13,disconnected
9,3,disconnected
11,13,connected
11,3,disconnected
13,3,connected
 ,linearOrdering, 
15,16,after
15,17,after
15,18,after
16,17,after
16,18,after
17,18,overlapped_by
