Object 1 , Object 2, Relations
 ,RCC8, 
110111,110112,dc
110111,110113,dc
110111,110114,dc
110111,110115,dc
110111,110116,dc
110111,110117,dc
110111,110118,dc
110111,110119,dc
110111,110120,dc
110111,7,dc
110111,8,dc
110111,25,dc
110111,26,dc
110111,27,dc
110111,24,dc
110112,110113,dc
110112,110114,dc
110112,110115,dc
110112,110116,dc
110112,110117,dc
110112,110118,dc
110112,110119,dc
110112,110120,dc
110112,7,dc
110112,8,dc
110112,25,dc
110112,26,dc
110112,27,dc
110112,24,dc
110113,110114,null
110113,110115,ec
110113,110116,dc
110113,110117,null
110113,110118,dc
110113,110119,dc
110113,110120,dc
110113,7,dc
110113,8,dc
110113,25,dc
110113,26,dc
110113,27,dc
110113,24,dc
110114,110115,null
110114,110116,dc
110114,110117,ec
110114,110118,dc
110114,110119,dc
110114,110120,dc
110114,7,dc
110114,8,dc
110114,25,dc
110114,26,dc
110114,27,dc
110114,24,dc
110115,110116,null
110115,110117,null
110115,110118,dc
110115,110119,dc
110115,110120,dc
110115,7,dc
110115,8,dc
110115,25,dc
110115,26,dc
110115,27,dc
110115,24,dc
110116,110117,null
110116,110118,dc
110116,110119,dc
110116,110120,dc
110116,7,dc
110116,8,dc
110116,25,dc
110116,26,dc
110116,27,dc
110116,24,dc
110117,110118,dc
110117,110119,dc
110117,110120,dc
110117,7,dc
110117,8,dc
110117,25,dc
110117,26,dc
110117,27,dc
110117,24,dc
110118,110119,dc
110118,110120,dc
110118,7,dc
110118,8,dc
110118,25,dc
110118,26,dc
110118,27,dc
110118,24,dc
110119,110120,dc
110119,7,dc
110119,8,dc
110119,25,dc
110119,26,dc
110119,27,dc
110119,24,dc
110120,7,dc
110120,8,dc
110120,25,dc
110120,26,dc
110120,27,dc
110120,24,dc
7,8,dc
7,25,dc
7,26,dc
7,27,dc
7,24,dc
8,25,dc
8,26,dc
8,27,dc
8,24,dc
25,26,dc
25,27,dc
25,24,dc
26,27,dc
26,24,dc
27,24,dc
 ,DE9IM, 
110111,13,disjoint
110111,16,disjoint
110111,17,disjoint
110111,11,disjoint
110111,9,disjoint
110111,18,disjoint
110111,23,disjoint
110111,21,disjoint
110111,14,disjoint
110111,15,disjoint
110111,10,disjoint
110111,12,disjoint
110111,G2,disjoint
110111,22,disjoint
110111,0,disjoint
110111,20,disjoint
110111,19,disjoint
110112,13,disjoint
110112,16,disjoint
110112,17,disjoint
110112,11,disjoint
110112,9,disjoint
110112,18,disjoint
110112,23,disjoint
110112,21,disjoint
110112,14,disjoint
110112,15,disjoint
110112,10,disjoint
110112,12,disjoint
110112,G2,disjoint
110112,22,disjoint
110112,0,disjoint
110112,20,disjoint
110112,19,disjoint
110113,13,disjoint
110113,16,disjoint
110113,17,disjoint
110113,11,disjoint
110113,9,disjoint
110113,18,disjoint
110113,23,disjoint
110113,21,disjoint
110113,14,disjoint
110113,15,disjoint
110113,10,disjoint
110113,12,disjoint
110113,G2,disjoint
110113,22,disjoint
110113,0,disjoint
110113,20,disjoint
110113,19,disjoint
110114,13,disjoint
110114,16,disjoint
110114,17,disjoint
110114,11,disjoint
110114,9,disjoint
110114,18,disjoint
110114,23,disjoint
110114,21,disjoint
110114,14,disjoint
110114,15,disjoint
110114,10,disjoint
110114,12,disjoint
110114,G2,disjoint
110114,22,disjoint
